"id","subject","predicate","object","language","datatype"
"55","http://purl.org/dc/dcmitype/Service","http://www.w3.org/2000/01/rdf-schema#label","Service","en",""
"56","http://purl.org/dc/dcmitype/Dataset","http://purl.org/dc/dcam/memberOf","http://purl.org/dc/terms/DCMIType","",""
"57","http://purl.org/dc/dcmitype/Service","http://www.w3.org/2000/01/rdf-schema#comment","A system that provides one or more functions.","en",""
"58","http://purl.org/dc/dcmitype/Dataset","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://purl.org/dc/dcmitype/","",""
"59","http://purl.org/dc/dcmitype/Sound","http://www.w3.org/2000/01/rdf-schema#label","Sound","en",""
"60","http://purl.org/dc/dcmitype/PhysicalObject","http://www.w3.org/2000/01/rdf-schema#label","Physical Object","en",""
"61","http://purl.org/dc/dcmitype/MovingImage","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://purl.org/dc/dcmitype/Image","",""
"62","http://purl.org/dc/dcmitype/","http://purl.org/dc/terms/modified","2012-06-14","","http://www.w3.org/2001/XMLSchema#date"
"63","http://purl.org/dc/dcmitype/Text","http://purl.org/dc/dcam/memberOf","http://purl.org/dc/terms/DCMIType","",""
"64","http://purl.org/dc/dcmitype/InteractiveResource","http://purl.org/dc/dcam/memberOf","http://purl.org/dc/terms/DCMIType","",""
"65","http://purl.org/dc/dcmitype/Collection","http://purl.org/dc/dcam/memberOf","http://purl.org/dc/terms/DCMIType","",""
"66","http://purl.org/dc/dcmitype/MovingImage","http://purl.org/dc/dcam/memberOf","http://purl.org/dc/terms/DCMIType","",""
"67","http://purl.org/dc/dcmitype/InteractiveResource","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://purl.org/dc/dcmitype/","",""
"68","http://purl.org/dc/dcmitype/Software","http://www.w3.org/2000/01/rdf-schema#label","Software","en",""
"69","http://purl.org/dc/dcmitype/PhysicalObject","http://purl.org/dc/terms/issued","2002-07-13","","http://www.w3.org/2001/XMLSchema#date"
"70","http://purl.org/dc/dcmitype/Event","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class","",""
"71","http://purl.org/dc/dcmitype/Dataset","http://purl.org/dc/terms/issued","2000-07-11","","http://www.w3.org/2001/XMLSchema#date"
"72","http://purl.org/dc/dcmitype/Service","http://purl.org/dc/dcam/memberOf","http://purl.org/dc/terms/DCMIType","",""
"73","http://purl.org/dc/dcmitype/Software","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class","",""
"74","http://purl.org/dc/dcmitype/Software","http://www.w3.org/2000/01/rdf-schema#comment","A computer program in source or compiled form.","en",""
"75","http://purl.org/dc/dcmitype/Service","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://purl.org/dc/dcmitype/","",""
"76","http://purl.org/dc/dcmitype/Dataset","http://www.w3.org/2000/01/rdf-schema#label","Dataset","en",""
"77","http://purl.org/dc/dcmitype/","http://purl.org/dc/terms/publisher","http://purl.org/dc/aboutdcmi#DCMI","",""
"78","http://purl.org/dc/dcmitype/Collection","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://purl.org/dc/dcmitype/","",""
"79","http://purl.org/dc/dcmitype/PhysicalObject","http://www.w3.org/2000/01/rdf-schema#comment","An inanimate, three-dimensional object or substance.","en",""
"80","http://purl.org/dc/dcmitype/Text","http://purl.org/dc/terms/issued","2000-07-11","","http://www.w3.org/2001/XMLSchema#date"
"81","http://purl.org/dc/dcmitype/InteractiveResource","http://purl.org/dc/terms/issued","2000-07-11","","http://www.w3.org/2001/XMLSchema#date"
"82","http://purl.org/dc/dcmitype/MovingImage","http://purl.org/dc/terms/issued","2003-11-18","","http://www.w3.org/2001/XMLSchema#date"
"83","http://purl.org/dc/dcmitype/Dataset","http://www.w3.org/2000/01/rdf-schema#comment","Data encoded in a defined structure.","en",""
"84","http://purl.org/dc/dcmitype/Image","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class","",""
"85","http://purl.org/dc/dcmitype/Sound","http://www.w3.org/2000/01/rdf-schema#comment","A resource primarily intended to be heard.","en",""
"86","http://purl.org/dc/dcmitype/Text","http://www.w3.org/2000/01/rdf-schema#comment","A resource consisting primarily of words for reading.","en",""
"87","http://purl.org/dc/dcmitype/MovingImage","http://purl.org/dc/terms/description","Examples include animations, movies, television programs, videos, zoetropes, or visual output from a simulation.  Instances of the type Moving Image must also be describable as instances of the broader type Image.","en",""
"88","http://purl.org/dc/dcmitype/StillImage","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class","",""
